,wshedid,Qtot,area,latidx,lonidx,fcode,flatidx,flonidx,fq,flc,fws
143,3104.0,114839820.0,37500000,199,73,32.0,198,73,46038070.0,12.0,3104.0
144,3105.0,75979240.0,50000000,198,104,64.0,199,103,-315484880000000.0,24.0,3105.0
145,3106.0,45794024.0,18750000,199,74,64.0,200,73,22902768.0,12.0,3106.0
146,3107.0,58185030.0,31250000,199,100,1.0,200,101,-315484940000000.0,24.0,3107.0
147,3108.0,4587770400.0,1300000000,199,105,128.0,200,105,-315480480000000.0,24.0,3108.0
148,3109.0,36116476.0,12500000,199,106,128.0,200,106,-315485000000000.0,24.0,3109.0
149,3110.0,54966200.0,18750000,199,107,128.0,200,107,-315484980000000.0,24.0,3110.0
150,3111.0,113577410.0,56250000,199,108,128.0,200,108,-315484880000000.0,24.0,3111.0
151,3112.0,159622900.0,50000000,201,74,32.0,200,74,45881144.0,12.0,3112.0
152,3113.0,36586800.0,12500000,201,101,2.0,201,102,-315485000000000.0,24.0,3113.0
153,3114.0,0.0,12500000,200,102,1.0,201,103,-315485000000000.0,24.0,3114.0
154,3115.0,76054510.0,43750000,200,110,128.0,201,110,-315484900000000.0,24.0,3115.0
155,3116.0,247229340.0,125000000,201,76,64.0,202,75,224615090.0,12.0,3116.0
156,3117.0,1873371600.0,543750000,201,100,1.0,202,101,-315483170000000.0,24.0,3117.0
157,3119.0,45212320.0,12500000,202,76,64.0,203,75,-315485000000000.0,24.0,3119.0
158,3120.0,44933344.0,12500000,202,77,128.0,203,77,-315485000000000.0,24.0,3120.0
159,3121.0,421378340.0,118750000,202,78,128.0,203,78,-315484600000000.0,24.0,3121.0
160,3122.0,751049400.0,306250000,204,80,16.0,203,79,-315484000000000.0,24.0,3122.0
161,3123.0,100686216.0,62500000,203,97,2.0,203,98,-315484840000000.0,24.0,3123.0
162,3124.0,38123600.0,12500000,202,99,128.0,203,99,-315485000000000.0,24.0,3124.0
163,3125.0,37015770.0,12500000,202,100,128.0,203,100,-315485000000000.0,24.0,3125.0
164,3126.0,472555520.0,156250000,202,113,64.0,203,112,-315484540000000.0,24.0,3126.0
165,3127.0,0.0,12500000,203,76,1.0,204,77,-315485000000000.0,24.0,3127.0
166,3128.0,44809376.0,12500000,204,79,32.0,203,79,-315484000000000.0,24.0,3122.0
167,3129.0,40205384.0,25000000,203,96,1.0,204,97,20108822.0,9.0,3129.0
168,3131.0,0.0,12500000,205,79,32.0,204,79,44809376.0,12.0,3128.0
169,3133.0,89766170.0,25000000,206,79,32.0,205,79,0.0,12.0,3131.0
170,3134.0,60275216.0,31250000,205,96,1.0,206,97,-315484940000000.0,24.0,3134.0
171,3138.0,44875256.0,12500000,207,79,32.0,206,79,89766170.0,9.0,3133.0
172,3140.0,45090360.0,18750000,208,80,32.0,207,80,44907170.0,9.0,3140.0
173,3141.0,102121640.0,37500000,207,95,1.0,208,96,-315484940000000.0,24.0,3141.0
174,3142.0,1666298200.0,450000000,207,119,128.0,208,119,-315483270000000.0,24.0,3142.0
175,3143.0,89784120.0,31250000,208,81,64.0,209,80,-315484940000000.0,24.0,3143.0
176,3144.0,61835920.0,25000000,208,93,1.0,209,94,-315484940000000.0,24.0,3144.0
177,3145.0,795269300.0,237500000,208,95,128.0,209,95,-315484240000000.0,24.0,3145.0
178,3147.0,133634250.0,62500000,209,83,64.0,210,82,111378584.0,9.0,3147.0
179,3148.0,124753760.0,50000000,209,92,128.0,210,92,-315484880000000.0,24.0,3148.0
180,3149.0,41154012.0,12500000,209,93,128.0,210,93,-315485000000000.0,24.0,3149.0
181,3151.0,44739896.0,12500000,210,83,128.0,211,83,-315485000000000.0,24.0,3151.0
182,3152.0,197888510.0,106250000,210,85,64.0,211,84,-315484680000000.0,24.0,3152.0
183,3153.0,105378660.0,37500000,210,90,1.0,211,91,-315484900000000.0,24.0,3153.0
184,3155.0,585795460.0,168750000,211,86,128.0,212,86,-315484470000000.0,24.0,3155.0
185,3156.0,43184612.0,12500000,211,87,128.0,212,87,-315485000000000.0,24.0,3156.0
186,3157.0,7771461600.0,2093750000,211,88,128.0,212,88,-315477300000000.0,24.0,3157.0
187,3158.0,233001660.0,68750000,211,89,128.0,212,89,-315484800000000.0,24.0,3158.0
188,3159.0,42116730.0,12500000,211,90,128.0,212,90,-315485000000000.0,24.0,3159.0
189,3160.0,3207451600.0,775000000,211,123,64.0,212,122,3190907400.0,19.0,3160.0
